Type,Datetime,Account,Amount,Value,Rate,Fee,Sub Type
Deposit,"Jan. 25, 2018, 10:45 AM",Main Account,500.00 EUR,,,,
Market,"Jan. 26, 2018, 07:44 AM",Main Account,0.05597537 BTC,498.74 EUR,8909.99 EUR,1.25000 EUR,Buy
Deposit,"Jan. 30, 2018, 10:30 AM",Main Account,1000.00 EUR,,,,
Market,"Jan. 30, 2018, 01:58 PM",Main Account,0.05500000 BTC,463.65 EUR,8430.00 EUR,1.16000 EUR,Buy
Market,"Feb. 01, 2018, 10:10 AM",Main Account,0.06558008 BTC,495.46 EUR,7555.00 EUR,1.24000 EUR,Buy
Market,"Feb. 05, 2018, 11:51 AM",Main Account,0.00300000 BTC,18.04 EUR,6015.00 EUR,0.05000 EUR,Buy
Market,"Feb. 06, 2018, 02:27 AM",Main Account,0.00300000 BTC,15.34 EUR,5115.00 EUR,0.04000 EUR,Buy
Market,"Feb. 06, 2018, 02:02 PM",Main Account,0.00300000 BTC,17.56 EUR,5855.00 EUR,0.05000 EUR,Sell
Market,"Feb. 06, 2018, 09:29 PM",Main Account,0.00300000 BTC,18.96 EUR,6320.54 EUR,0.05000 EUR,Sell
Market,"Feb. 15, 2018, 09:10 AM",Main Account,0.02769808 BTC,221.28 EUR,7989.00 EUR,0.56000 EUR,Sell
Market,"Feb. 15, 2018, 09:10 AM",Main Account,0.03230192 BTC,258.06 EUR,7989.00 EUR,0.65000 EUR,Sell
Market,"Feb. 15, 2018, 09:52 AM",Main Account,0.06602052 BTC,518.26 EUR,7850.00 EUR,1.30000 EUR,Buy
Market,"Feb. 17, 2018, 02:15 AM",Main Account,0.06602052 BTC,554.31 EUR,8396.00 EUR,1.39000 EUR,Sell
Market,"Feb. 17, 2018, 02:30 PM",Main Account,0.03882975 BTC,330.64 EUR,8515.00 EUR,0.83000 EUR,Buy
Market,"Feb. 17, 2018, 02:30 PM",Main Account,0.02445627 BTC,208.25 EUR,8515.00 EUR,0.53000 EUR,Buy
Market,"Feb. 17, 2018, 11:08 PM",Main Account,0.06320000 BTC,561.85 EUR,8890.00 EUR,1.41000 EUR,Sell
Market,"Feb. 18, 2018, 01:03 AM",Main Account,0.05500000 BTC,496.10 EUR,9020.00 EUR,1.25000 EUR,Sell
Market,"Feb. 18, 2018, 08:27 AM",Main Account,0.05000000 BTC,428.10 EUR,8562.00 EUR,1.08000 EUR,Buy
Market,"Feb. 19, 2018, 03:16 PM",Main Account,0.05000000 BTC,449.50 EUR,8990.00 EUR,1.13000 EUR,Sell
Market,"Feb. 20, 2018, 08:48 AM",Main Account,0.06458045 BTC,592.46 EUR,9174.00 EUR,1.49000 EUR,Buy
Market,"Feb. 20, 2018, 10:53 PM",Main Account,0.05178590 BTC,477.21 EUR,9215.00 EUR,1.20000 EUR,Buy
Market,"Mar. 02, 2018, 01:26 AM",Main Account,0.00566610 BTC,51.10 EUR,9019.00 EUR,0.13000 EUR,Sell
Market,"Mar. 05, 2018, 06:42 PM",Main Account,0.01486671 BTC,139.45 EUR,9380.00 EUR,0.35000 EUR,Sell
Market,"Mar. 05, 2018, 06:45 PM",Main Account,0.00759986 BTC,71.29 EUR,9380.00 EUR,0.18000 EUR,Sell
Market,"Mar. 05, 2018, 06:45 PM",Main Account,0.03350880 BTC,314.31 EUR,9380.00 EUR,0.79000 EUR,Sell
Market,"Mar. 06, 2018, 01:45 PM",Main Account,0.04500000 BTC,392.18 EUR,8715.00 EUR,0.99000 EUR,Buy
Market,"Mar. 07, 2018, 04:39 PM",Main Account,0.02235192 BTC,184.96 EUR,8275.00 EUR,0.47000 EUR,Buy
Deposit,"Mar. 09, 2018, 09:45 AM",Main Account,500.00 EUR,,,,
Market,"Mar. 09, 2018, 04:33 PM",Main Account,0.05000000 BTC,354.75 EUR,7095.00 EUR,0.89000 EUR,Buy
Market,"Mar. 09, 2018, 10:38 PM",Main Account,0.05000000 BTC,373.40 EUR,7468.00 EUR,0.94000 EUR,Sell
Market,"Mar. 10, 2018, 05:35 PM",Main Account,0.04600000 BTC,343.53 EUR,7468.00 EUR,0.86000 EUR,Buy
Market,"Mar. 10, 2018, 10:21 PM",Main Account,0.02448870 BTC,173.75 EUR,7095.00 EUR,0.44000 EUR,Buy
Market,"Mar. 11, 2018, 12:05 PM",Main Account,0.02448870 BTC,182.88 EUR,7468.00 EUR,0.46000 EUR,Sell
Market,"Mar. 11, 2018, 06:07 PM",Main Account,0.04076219 BTC,320.43 EUR,7861.00 EUR,0.81000 EUR,Sell
Market,"Mar. 11, 2018, 06:07 PM",Main Account,0.00523781 BTC,41.17 EUR,7861.00 EUR,0.11000 EUR,Sell
Market,"Mar. 12, 2018, 02:59 PM",Main Account,0.04766303 BTC,355.95 EUR,7468.00 EUR,0.89000 EUR,Buy
Market,"Mar. 14, 2018, 10:21 AM",Main Account,0.02554055 BTC,181.21 EUR,7095.00 EUR,0.46000 EUR,Buy
Market,"Apr. 24, 2018, 12:33 AM",Main Account,0.02554055 BTC,190.74 EUR,7468.00 EUR,0.48000 EUR,Sell
Market,"Apr. 24, 2018, 11:26 PM",Main Account,0.00533033 BTC,41.90 EUR,7861.00 EUR,0.11000 EUR,Sell
Market,"Apr. 24, 2018, 11:26 PM",Main Account,0.02384608 BTC,187.45 EUR,7861.00 EUR,0.47000 EUR,Sell
Market,"Apr. 24, 2018, 11:26 PM",Main Account,0.01480000 BTC,116.34 EUR,7861.00 EUR,0.30000 EUR,Sell
Market,"Apr. 24, 2018, 11:26 PM",Main Account,0.00368662 BTC,28.98 EUR,7861.00 EUR,0.08000 EUR,Sell
Market,"Apr. 25, 2018, 10:41 AM",Main Account,0.04900000 BTC,365.93 EUR,7468.00 EUR,0.92000 EUR,Buy
Market,"Apr. 26, 2018, 12:29 AM",Main Account,0.02685557 BTC,190.54 EUR,7095.00 EUR,0.48000 EUR,Buy
Market,"Apr. 26, 2018, 08:11 PM",Main Account,0.02680000 BTC,200.14 EUR,7468.00 EUR,0.51000 EUR,Sell
Market,"Apr. 26, 2018, 08:11 PM",Main Account,0.00005557 BTC,0.41 EUR,7468.00 EUR,0.01000 EUR,Sell
Market,"May. 03, 2018, 01:57 PM",Main Account,0.04900000 BTC,385.19 EUR,7861.00 EUR,0.97000 EUR,Sell
Market,"May. 06, 2018, 12:18 PM",Main Account,0.04900000 BTC,385.19 EUR,7861.00 EUR,0.97000 EUR,Buy
Market,"May. 11, 2018, 12:04 AM",Main Account,0.02765739 BTC,206.55 EUR,7468.00 EUR,0.52000 EUR,Buy
Deposit,"May. 15, 2018, 08:30 AM",Main Account,500.00 EUR,,,,
Market,"May. 16, 2018, 01:24 AM",Main Account,0.05000000 BTC,354.75 EUR,7095.00 EUR,0.89000 EUR,Buy
Market,"May. 18, 2018, 12:51 AM",Main Account,0.02159525 BTC,145.55 EUR,6740.00 EUR,0.37000 EUR,Buy
Market,"May. 19, 2018, 11:59 AM",Main Account,0.02159525 BTC,153.22 EUR,7095.00 EUR,0.39000 EUR,Sell
Market,"May. 23, 2018, 01:01 AM",Main Account,0.02237623 BTC,150.82 EUR,6740.00 EUR,0.38000 EUR,Buy
Deposit,"Jun. 13, 2018, 08:15 AM",Main Account,500.00 EUR,,,,
Market,"Jun. 13, 2018, 10:42 AM",Main Account,0.03000000 BTC,164.64 EUR,5488.00 EUR,0.42000 EUR,Buy
Market,"Jun. 14, 2018, 06:06 PM",Main Account,0.03000000 BTC,173.31 EUR,5777.00 EUR,0.44000 EUR,Sell
Market,"Jun. 16, 2018, 03:38 PM",Main Account,0.05000000 BTC,274.40 EUR,5488.00 EUR,0.69000 EUR,Buy
Market,"Jun. 18, 2018, 05:12 PM",Main Account,0.05000000 BTC,288.85 EUR,5777.00 EUR,0.73000 EUR,Sell
Market,"Jun. 21, 2018, 02:44 PM",Main Account,0.04216027 BTC,243.56 EUR,5777.00 EUR,0.61000 EUR,Buy
Market,"Jun. 22, 2018, 08:34 AM",Main Account,0.05184997 BTC,284.55 EUR,5488.00 EUR,0.72000 EUR,Buy
Market,"Jul. 04, 2018, 01:14 PM",Main Account,0.02122080 BTC,122.59 EUR,5777.00 EUR,0.31000 EUR,Sell
Market,"Jul. 04, 2018, 01:14 PM",Main Account,0.03062917 BTC,176.94 EUR,5777.00 EUR,0.45000 EUR,Sell
Market,"Jul. 10, 2018, 09:40 AM",Main Account,0.05198206 BTC,285.28 EUR,5488.00 EUR,0.72000 EUR,Buy
